Název položky;Datum;PC;NC;m kod
Jankův nugát arašídový;18.4.2024;20;11;407
Jankův nugát arašídový;21.6.2024;20;11;407
Jankův nugát arašídový;15.10.2024;20;11;407
Jankův nugát arašídový;7.4.2025;20;12;407
Jankův nugát lískový ořech;18.4.2024;22;12;406
Jankův nugát skořice;15.10.2024;22;11;
Jankův nugát lískový ořech;15.10.2024;22;7;406
Jankův nugát lískový ořech;7.4.2025;22;15;406
Jankův nugát mandle;7.4.2025;22;15;957
Jankův nugát pistáciový;7.4.2025;25;16;403
Crème boule - Pistachio Mio;4.3.2025;27;19;859
Créme boule - Strawberry caramel;9.4.2025;29;19;623
Crème boule - Double chocolate;9.4.2025;29;18;637
Bílé čokoládové lízátko - srdíčko;7.4.2025;42;29;975
Bílé čokoládové lízátko - srdíčko;7.4.2025;42;31;975
Hořké čokoládové lízátko - srdíčko;7.4.2025;42;31;984
Sychrovy trubičky;4.2.2025;45;21;
Čokoládové srdíčko ruby;7.4.2025;49;31;979
Čokoládové lízátko mléčné – hvězdička;7.4.2025;49;29;
Čokoládové lízátko mléčné – hvězdička;7.4.2025;49;29;
Čokoládové lízátko mléčné – hvězdička;7.4.2025;49;29;
Čokoládové lízátko mléčné – hvězdička;7.4.2025;49;31;
Čokoládové lízátko mléčné – hvězdička;7.4.2025;49;29;
Čokoládové lízátko mléčné – hvězdička;7.4.2025;49;32;
Čokoládové lízátko mléčné – hvězdička;7.4.2025;49;31;
Amity | Citron 330ml;7.2.2025;50;31;645
Amity | Mandarinka 330ml;7.2.2025;50;31;368
Amity | Matcha ananas 330ml;7.2.2025;55;35;589
Amity | Matcha grep 330ml;7.2.2025;55;35;369
Amity | Matcha limeta 330ml;7.2.2025;55;35;590
Seicha Matcha Grapefruit;7.2.2025;55;36;583
Seicha Matcha yuzu 0,33l;7.2.2025;55;36;513
Amity | Matcha ananas 330ml;20.2.2025;55;35;589
Amity | Matcha limeta 330ml;20.2.2025;55;35;590
Mixit Krispers - Slaný karamel do kapsy;4.3.2025;59;41;940
Mixit Krispers - Slaný karamel do kapsy;9.4.2025;59;41;940
Pragers Kombucha original 0,33l;7.2.2025;60;40;520
Do kapsy - Lesní mix;4.3.2025;62;41;638
Tyčinky celozrnné špaldové BIO 150g;24.3.2025;63Kč;45;365
Velikonoční vajíčka do kapsy;9.4.2025;64;47;966
Mixit preclíky do kapsy - Slaný karamel;4.3.2025;69;51;619
JAHODA SORBET;25.4.2025;70;48;568
MANGO SORBET;25.4.2025;70;48;570
DUHOVKA SORBET;25.4.2025;70;48;571
VANILKA S BORUVKOU;25.4.2025;70;48;572
SLANÝ KARAMEL;25.4.2025;70;48;573
LÍSKOVÝ OŘÍŠEK;25.4.2025;70;48;574
JAHODA JOGURT;25.4.2025;70;48;575
PISTÁCIE JOGURT;25.4.2025;70;48;576
TVAROH;25.4.2025;70;48;579
DRAČÍ OVOCE SORBET;25.4.2025;70;48;578
Mandle smažené v olivovém oleji, 100g;10.2.2025;72;56;343
Sypaný čaj Yerba maté 150g;24.3.2025;75Kč;54;337
Zelený čaj GUNPOWDER 100g;24.3.2025;75Kč;49;335
Zelený čaj SENCHA 100g;24.3.2025;75Kč;54;334
Pistácie 100g;10.2.2025;79;62;331
Černé olivy konfitované;10.2.2025;79;54;594
Irsai Oliver 20l BiB 1l polosladké;27.2.2025;79;39;326
Dornfelder 20l BiB, polosuché, 1l,;27.2.2025;79;52;328
Chardonnay 20l BiB 1l suché;27.2.2025;79;35;327
Modrý Portugal 20l BiB 1l suché;27.2.2025;79;35;323
Irsai Oliver 20l BiB 1l polosladké;16.4.2025;79;39;326
Dornfelder 20l BiB, polosuché, 1l,;16.4.2025;79;52;328
Irsai Oliver 20l BiB 1l polosladké;26.3.2025;79;39;326
Tramín Červený 20l BiB 1l polosuché;27.2.2025;89;35;318
Rulandské Šedé 20l BiB 1l suché;27.2.2025;89;44;321
Merlot 20l BiB 1l polosladké;16.4.2025;89;42;325
Rulandské Šedé 20l BiB 1l suché;26.3.2025;89;44;321
Merlot 20l BiB 1l polosladké;26.3.2025;89;42;325
Rybízák 1l;26.3.2025;89;45;985
Bylinkové objetí čaj 80g;24.3.2025;94Kč;68;855
Bylinkoví ochránci čaj 60g;24.3.2025;94Kč;66;852
Dobré ránko čaj 60g;24.3.2025;94Kč;66;853
Doušek štěstí čaj 50g;24.3.2025;94Kč;62;848
Duše v peří čaj 50g;24.3.2025;94Kč;62;849
NáDech čaj 40g;24.3.2025;94Kč;68;856
Ovocný doušek čaj 100g;24.3.2025;94Kč;62;846
Pozdrav slunci čaj 40g;24.3.2025;94Kč;62;850
Rozkvetlá louka čaj 50g;24.3.2025;94Kč;66;854
